Name,Team,IP,K%,BB%,BABIP,GB%,LD%,FB%,IFFB%,EV,Soft%,Med%,Hard%,FB%,SL%,CT%,CB%,CH%,SF%,KN%,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Swing%,Contact%,Zone%,F-Strike%,SwStr%,LOB%,FBv,SLv,CTv,CBv,CHv,SFv,KNv,Z-Swing%,O-Contact%,Z-Contact%,Pace,playerid
Zack Greinke,- - -,1984,0.234,0.055,0.286,0.468,0.209,0.323,0.092,87.6,0.183,0.506,0.311,0.521,0.166,0.027,0.129,0.157,,,0.31,0.88,0.07,0.64,1.61,,,0.33,0.459,0.771,0.409,0.631,0.105,0.756,91.7,84.8,87.6,72.7,87,,,0.645,0.639,0.868,23.5,1943
Jack Flaherty,Cardinals,367.2,0.293,0.084,0.254,0.411,0.216,0.372,0.127,86.6,0.212,0.421,0.367,0.57,0.283,,0.118,0.03,,,1.21,1.62,,-0.18,-3.01,,,0.314,0.47,0.711,0.426,0.593,0.136,0.802,93.3,84.3,,77.8,86.2,,,0.68,0.554,0.809,23.5,17479
Gerrit Cole,- - -,1195,0.276,0.065,0.303,0.447,0.218,0.335,0.102,87.8,0.2,0.5,0.301,0.614,0.187,,0.135,0.064,,,0.87,0.7,,0.14,0.1,,,0.309,0.478,0.758,0.467,0.628,0.116,0.756,96.1,88.2,,82.3,88.2,,,0.671,0.587,0.848,22,13125
Blake Snell,Rays,506,0.28,0.102,0.294,0.418,0.215,0.367,0.103,87.3,0.192,0.469,0.339,0.529,0.103,,0.171,0.197,,,0.22,-0.02,,1.37,1.24,,,0.325,0.449,0.694,0.386,0.586,0.138,0.763,94.9,86,,80.1,86.5,,,0.646,0.54,0.817,24.1,13543
Roy Halladay,Phillies,702.2,0.218,0.048,0.292,0.487,0.2,0.313,0.123,,0.237,0.537,0.225,0.276,,0.39,0.191,0.039,0.105,,-0.14,,0.87,1.21,1.24,0.62,,0.329,0.479,0.783,0.457,0.651,0.104,0.757,91.7,,90.2,77.1,84.2,82.4,,0.657,0.64,0.868,18.8,1303
David Price,- - -,1877.2,0.242,0.061,0.293,0.437,0.207,0.357,0.105,87.9,0.185,0.524,0.291,0.581,0.018,0.141,0.09,0.17,,,0.65,0.47,0.19,-0.22,1.04,,,0.311,0.477,0.789,0.464,0.65,0.1,0.753,93.9,88.3,88.5,78.8,84.6,,,0.668,0.684,0.846,24.6,3184
Cory Luebke,Padres,147.1,0.247,0.068,0.28,0.4,0.223,0.377,0.099,,0.19,0.526,0.285,0.683,0.18,,0.038,0.099,,,0.8,-0.09,,0.16,-1.23,,,0.319,0.461,0.788,0.445,0.613,0.097,0.758,91.4,84,,76.7,84.7,,,0.637,0.655,0.872,19,1984
Noah Syndergaard,Mets,715,0.263,0.057,0.314,0.491,0.213,0.296,0.097,86.6,0.216,0.521,0.263,0.582,0.154,,0.12,0.144,0,,0.37,1.62,,0.68,0.58,-2.63,,0.348,0.497,0.734,0.437,0.631,0.132,0.734,97.6,90.7,,81.5,90,92,,0.689,0.57,0.841,23.3,11762
Cole Hamels,- - -,1955,0.232,0.072,0.287,0.466,0.199,0.335,0.095,88.3,0.193,0.507,0.3,0.482,,0.185,0.108,0.225,,,-0.1,,0.18,0.03,1.97,,,0.332,0.486,0.751,0.439,0.604,0.121,0.773,92,,88.4,77.9,83.5,,,0.685,0.61,0.839,21.2,4972
Chris Paddack,Padres,140.2,0.269,0.055,0.237,0.402,0.175,0.423,0.115,87.8,0.172,0.407,0.421,0.611,,,0.104,0.285,,,0.99,,,-0.33,1.22,,,0.36,0.521,0.78,0.456,0.713,0.115,0.769,93.9,,,76.2,84.5,,,0.714,0.686,0.837,21.8,20099
Chris Carpenter,Cardinals,489.1,0.188,0.059,0.294,0.484,0.204,0.311,0.08,,0.208,0.532,0.26,0.505,0.231,,0.234,0.031,,,0.22,0.76,,0.53,-0.02,,,0.3,0.457,0.802,0.46,0.613,0.09,0.733,91.9,87.2,,74.5,84.8,,,0.641,0.623,0.901,20.1,1292
