Name,Team,IP,K%,BB%,BABIP,GB%,LD%,FB%,IFFB%,EV,Soft%,Med%,Hard%,FB%,SL%,CT%,CB%,CH%,SF%,KN%,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Swing%,Contact%,Zone%,F-Strike%,SwStr%,LOB%,FBv,SLv,CTv,CBv,CHv,SFv,KNv,Z-Swing%,O-Contact%,Z-Contact%,Pace,playerid
Jose Quintana,- - -,1474,0.209,0.067,0.305,0.442,0.221,0.337,0.1,88.6,0.167,0.523,0.31,0.598,0.007,0.059,0.241,0.095,,,0.46,0.08,0.44,-0.01,-1.89,,,0.289,0.449,0.812,0.444,0.656,0.084,0.736,91.6,77.5,88.5,78.4,85.9,,,0.65,0.67,0.892,23.1,11423
Masahiro Tanaka,Yankees,1003.1,0.231,0.049,0.282,0.478,0.202,0.32,0.11,88.8,0.179,0.477,0.344,0.311,0.287,0.069,0.052,0.006,0.275,,-1.4,1.7,-0.92,-0.02,-1.5,1.12,,0.373,0.501,0.749,0.413,0.653,0.126,0.747,91.5,83.7,89,76,84.4,87.1,,0.683,0.606,0.86,25.5,15764
Matt Harrison,Rangers,475,0.153,0.078,0.289,0.475,0.208,0.317,0.111,89.3,0.198,0.55,0.252,0.643,0.091,,0.127,0.139,,,0.34,-1.75,,-0.06,0.11,,,0.277,0.442,0.826,0.461,0.586,0.077,0.739,92,86.3,,78,82.4,,,0.636,0.706,0.888,18.8,5551
Carlos Carrasco,Indians,1075,0.257,0.059,0.309,0.48,0.203,0.317,0.067,89,0.174,0.504,0.322,0.519,0.198,,0.118,0.165,,,-0.66,1.51,,0.88,1.46,,,0.347,0.496,0.744,0.442,0.633,0.127,0.732,93.9,85.9,,82.1,87.9,,,0.683,0.559,0.863,23.9,6632
Zack Wheeler,Mets,749.1,0.228,0.085,0.3,0.465,0.21,0.325,0.114,86.8,0.201,0.504,0.295,0.616,0.18,,0.12,0.06,0.024,,0.46,0.4,,0.09,-1.05,-0.61,,0.303,0.471,0.787,0.445,0.596,0.1,0.736,95.5,89.7,,79.1,88.2,89.6,,0.679,0.669,0.853,22.3,10310
Sean Manaea,Athletics,488.2,0.196,0.065,0.279,0.44,0.209,0.351,0.083,89.6,0.161,0.483,0.356,0.58,0.151,,,0.269,,,0.05,0.35,,,0.65,,,0.335,0.497,0.778,0.455,0.628,0.11,0.74,91.4,79.5,,,83.3,,,0.691,0.611,0.875,22.4,15873
Wandy Rodriguez,- - -,763,0.189,0.075,0.29,0.459,0.203,0.339,0.097,89.6,0.187,0.52,0.293,0.558,0,,0.344,0.098,,,-0.16,21.09,,0.23,-1.43,,,0.3,0.439,0.823,0.452,0.63,0.077,0.734,89.2,,,75.6,83.4,,,0.609,0.703,0.894,20.2,2586
Matt Shoemaker,- - -,558,0.217,0.059,0.291,0.407,0.198,0.395,0.088,88.3,0.16,0.512,0.329,0.512,0.159,,0.05,0.001,0.279,,-0.13,-0.37,,-0.93,1.99,1.36,,0.324,0.483,0.764,0.443,0.65,0.114,0.748,90.9,82.1,,75.8,84,84.4,,0.684,0.596,0.863,23.6,4776
Ted Lilly,- - -,458,0.197,0.065,0.253,0.329,0.192,0.479,0.164,,0.237,0.486,0.278,0.542,0.17,,0.112,0.176,,,0.74,-0.89,,0.05,0.38,,,0.309,0.484,0.818,0.518,0.629,0.088,0.74,87.1,81.7,,70.7,78.7,,,0.647,0.714,0.864,22.4,833
Jordan Montgomery,Yankees,184.2,0.22,0.081,0.279,0.413,0.179,0.408,0.082,87,0.18,0.552,0.269,0.419,0.12,,0.265,0.196,,,-0.73,0.83,,1.69,1.41,,,0.331,0.467,0.747,0.421,0.601,0.118,0.751,91.7,86,,80.5,84.2,,,0.654,0.582,0.862,23.9,16511
Michael Fulmer,Tigers,456,0.189,0.068,0.276,0.477,0.211,0.312,0.107,87.7,0.178,0.494,0.329,0.589,0.24,,0.002,0.17,,,0.57,0.52,,-6.75,0.62,,,0.328,0.493,0.795,0.445,0.617,0.101,0.709,95.5,87.8,,78.6,87.2,,,0.698,0.676,0.865,22.4,13218
Brad Keller,Royals,283.1,0.17,0.094,0.292,0.512,0.203,0.285,0.081,88.5,0.169,0.484,0.347,0.677,0.295,,,0.02,0.009,,0.43,0.86,,,-2.45,-1.21,,0.315,0.459,0.81,0.408,0.585,0.087,0.738,93.5,85.2,,,88.2,88.4,,0.668,0.668,0.907,21.5,15734
Sandy Alcantara,Marlins,231.1,0.184,0.106,0.268,0.45,0.19,0.36,0.115,87.4,0.199,0.454,0.347,0.575,0.225,,0.071,0.129,,,0.32,-0.02,,-0.13,0.27,,,0.328,0.48,0.775,0.415,0.606,0.108,0.749,95.6,86,,81.6,89.3,,,0.694,0.634,0.869,22.6,18684
Zach Plesac,Indians,115.2,0.185,0.084,0.255,0.391,0.224,0.385,0.099,89.6,0.163,0.456,0.381,0.506,0.188,,0.1,0.206,,,-0.04,0.9,,-1.32,0.55,,,0.27,0.473,0.799,0.443,0.611,0.095,0.786,94,85,,79.5,85.9,,,0.728,0.662,0.863,22.6,19979
Henderson Alvarez,- - -,577.2,0.125,0.058,0.291,0.548,0.206,0.246,0.079,87.9,0.165,0.545,0.29,0.674,0.118,0.015,0.009,0.183,,,0.17,-1.29,-1.47,-0.05,-0.48,,,0.283,0.461,0.867,0.481,0.608,0.061,0.727,93.2,83.1,88.9,64.5,87.7,,,0.654,0.771,0.911,21.1,5669
Yonny Chirinos,Rays,136.2,0.219,0.061,0.273,0.453,0.239,0.308,0.099,88.9,0.162,0.465,0.374,0.573,0.211,,,,0.216,,0.27,0.32,,,,1.61,,0.314,0.491,0.777,0.431,0.622,0.11,0.742,93.7,87.6,,,,85.6,,0.725,0.636,0.857,26,16401
Michael Wacha,Cardinals,838.2,0.203,0.083,0.295,0.459,0.226,0.316,0.08,87.9,0.182,0.49,0.329,0.538,,0.145,0.113,0.204,,,0.13,,-0.23,-0.24,0.72,,,0.3,0.479,0.804,0.463,0.61,0.094,0.736,93.8,,89.8,75.5,86.1,,,0.687,0.705,0.853,20.3,14078
Clay Buchholz,- - -,1119,0.182,0.078,0.286,0.469,0.185,0.347,0.093,87.9,0.173,0.522,0.305,0.455,0.03,0.194,0.149,0.156,0.016,,-0.06,0.86,0.69,-0.14,0.79,-1.31,,0.306,0.459,0.8,0.436,0.617,0.092,0.723,92.2,90,87.9,77.3,80.3,85.6,,0.657,0.679,0.873,25.3,3543
Mark Buehrle,- - -,1222.1,0.133,0.051,0.298,0.445,0.203,0.351,0.095,87.1,0.19,0.532,0.278,0.468,0.037,0.174,0.094,0.227,,,-0.17,0.94,-0.24,-0.6,0.01,,,0.311,0.456,0.859,0.422,0.598,0.064,0.727,84.7,79.2,81.1,71.7,78.6,,,0.655,0.786,0.906,16.8,225
Jaime Garcia,- - -,1092.2,0.192,0.075,0.304,0.554,0.183,0.263,0.061,88.4,0.192,0.52,0.288,0.583,0.031,0.149,0.075,0.163,,,-0.07,-0.37,0.9,0.08,0.02,,,0.306,0.46,0.776,0.456,0.584,0.103,0.709,90,81.9,84.3,73.2,82.4,,,0.643,0.583,0.885,22.1,8137
Danny Salazar,Indians,585.2,0.277,0.086,0.309,0.414,0.207,0.38,0.096,89.9,0.158,0.541,0.301,0.682,0.083,,0.036,0.2,,,-0.23,-1.19,,-1.27,2.35,,,0.311,0.489,0.745,0.466,0.586,0.124,0.752,94.8,85.7,,80.4,85.4,,,0.692,0.597,0.822,22,5867
Chris Archer,- - -,1229.1,0.26,0.08,0.301,0.447,0.21,0.342,0.093,89.7,0.165,0.489,0.346,0.533,0.377,,0.004,0.085,,,-0.24,1.06,,-0.92,-0.49,,,0.309,0.459,0.741,0.442,0.607,0.119,0.727,94.8,87.8,,81.9,86.4,,,0.65,0.567,0.845,23.7,6345
Miles Mikolas,- - -,442,0.18,0.043,0.291,0.472,0.226,0.301,0.085,87.6,0.178,0.464,0.358,0.516,0.237,,0.201,0.032,0.015,,0.3,1.31,,-0.09,-1.72,-0.71,,0.353,0.503,0.812,0.469,0.675,0.095,0.722,93.6,87.5,,78.1,86.7,89,,0.674,0.693,0.883,22.6,9803
Alex Cobb,- - -,864.2,0.188,0.069,0.29,0.53,0.199,0.271,0.084,88.9,0.168,0.514,0.318,0.475,,,0.235,0.291,,,-0.23,,,-0.38,0.95,,,0.323,0.447,0.813,0.424,0.599,0.083,0.734,91.4,,,80.3,86,,,0.614,0.692,0.9,24,6562
Patrick Corbin,- - -,1110,0.234,0.07,0.309,0.487,0.214,0.299,0.069,89.2,0.159,0.49,0.351,0.584,0.318,,0.023,0.075,,,-0.41,1.38,,0.71,-2.37,,,0.346,0.473,0.748,0.408,0.629,0.119,0.733,91.7,81.1,,71.2,82.6,,,0.658,0.573,0.881,22.1,9323
Ervin Santana,- - -,1575,0.188,0.074,0.275,0.414,0.204,0.382,0.093,87.8,0.18,0.531,0.29,0.549,0.363,,0.001,0.087,,,-0.55,1.17,,0.1,-1.13,,,0.302,0.459,0.793,0.444,0.628,0.095,0.746,92.4,83.2,,77.5,85.1,,,0.657,0.615,0.894,20.7,3200
CC Sabathia,Yankees,1687,0.21,0.071,0.299,0.471,0.203,0.326,0.099,85.9,0.212,0.508,0.28,0.456,0.246,0.129,0.026,0.143,0,,-0.39,0.89,0.05,-0.81,0.19,4.07,,0.325,0.467,0.781,0.437,0.619,0.102,0.744,91.8,80.4,88.9,77.9,84.8,93,,0.65,0.648,0.867,23.8,404
Raisel Iglesias,Reds,120.2,0.262,0.068,0.296,0.447,0.225,0.328,0.076,87.8,0.17,0.575,0.255,0.578,0.298,,,0.125,,,-0.06,1.07,,,-0.36,,,0.326,0.472,0.765,0.471,0.581,0.111,0.75,91.4,81.8,,,85.1,,,0.635,0.584,0.869,21.5,17130
Adam Warren,- - -,111.1,0.178,0.076,0.281,0.439,0.206,0.355,0.101,87.5,0.198,0.555,0.248,0.482,0.256,,0.101,0.161,,,-1.1,1.11,,0.28,3.2,,,0.305,0.447,0.803,0.411,0.576,0.088,0.733,92.2,86.6,,79,84,,,0.651,0.679,0.887,22,9029
Brett Myers,- - -,453.2,0.18,0.067,0.288,0.479,0.173,0.349,0.077,,0.202,0.53,0.268,0.468,0.232,,0.213,0.086,,,-1.12,0.88,,1.26,-0.75,,,0.292,0.448,0.819,0.454,0.599,0.08,0.735,88.8,83,,75.8,82.6,,,0.635,0.682,0.895,20.2,962
Charlie Morton,- - -,1229.2,0.213,0.081,0.307,0.541,0.213,0.246,0.086,87.3,0.21,0.511,0.279,0.609,0.016,0.049,0.259,0.066,,,-0.16,1.01,-0.49,1.17,-1.94,,,0.306,0.453,0.788,0.45,0.599,0.096,0.708,93,84.7,87.3,78.9,84.9,,,0.633,0.638,0.877,21.8,4676
Junior Guerra,Brewers,320.2,0.206,0.101,0.276,0.416,0.207,0.378,0.115,88.6,0.182,0.462,0.356,0.66,0.147,,,,0.193,,-0.21,-0.76,,,,0.29,,0.292,0.46,0.772,0.424,0.596,0.105,0.757,92.9,82.5,,,,85.3,,0.689,0.617,0.861,24.4,5702
Jake Odorizzi,- - -,1018.2,0.228,0.082,0.278,0.33,0.215,0.455,0.103,88.9,0.173,0.485,0.342,0.552,0.111,0.07,0.052,0.215,,,0.6,0.08,-0.81,-1.1,-0.47,,,0.316,0.48,0.783,0.418,0.585,0.104,0.743,91.4,83.4,86.2,72.1,84.5,,,0.708,0.697,0.835,23.3,6397
Chad Billingsley,- - -,578.1,0.189,0.085,0.308,0.466,0.205,0.329,0.079,89.7,0.187,0.552,0.261,0.564,0.031,0.185,0.17,0.051,,,0.03,1.1,0.11,-0.52,-0.72,,,0.278,0.448,0.815,0.469,0.597,0.083,0.708,91.4,84.1,88.1,76,85.1,,,0.641,0.648,0.897,22,5842
Yordano Ventura,Royals,546,0.199,0.09,0.295,0.5,0.2,0.3,0.086,89.5,0.176,0.541,0.283,0.601,,0.031,0.211,0.158,,,-0.19,,-1.32,1.05,-0.5,,,0.284,0.456,0.783,0.455,0.588,0.099,0.749,96.5,,93.4,83.3,86.9,,,0.661,0.611,0.87,20.4,11855
Dan Haren,- - -,1191,0.197,0.047,0.286,0.387,0.2,0.413,0.108,88.2,0.178,0.515,0.307,0.382,,0.383,0.087,,0.147,,-0.32,,0.25,-0.05,,-0.12,,0.332,0.467,0.814,0.433,0.639,0.087,0.722,88.8,,85,77.6,,83.9,,0.643,0.698,0.892,19.6,1757
Max Fried,Braves,200.1,0.246,0.075,0.342,0.542,0.243,0.215,0.066,89.2,0.171,0.449,0.379,0.579,0.127,,0.25,0.044,,,-0.01,1.48,,0.16,-3.28,,,0.305,0.458,0.755,0.419,0.613,0.112,0.74,93.5,83.8,,74.4,84.2,,,0.669,0.598,0.854,24.8,13743
Joe Ross,Nationals,313,0.206,0.071,0.306,0.429,0.234,0.337,0.096,87.7,0.195,0.498,0.307,0.558,0.332,,0.024,0.087,,,-0.57,1.76,,-0.55,-1.58,,,0.327,0.476,0.776,0.434,0.593,0.107,0.752,92.8,84.6,,80.9,86.9,,,0.671,0.65,0.855,24,12972
Zach Davies,Brewers,614.1,0.168,0.07,0.291,0.464,0.226,0.31,0.073,87.5,0.183,0.479,0.339,0.561,0.004,0.121,0.108,0.207,,,-0.23,-4.42,-0.36,-0.16,1.08,,,0.289,0.432,0.82,0.398,0.577,0.078,0.731,89.2,81.2,86.4,73.6,79.5,,,0.649,0.725,0.883,21.5,13183
Kenta Maeda,Dodgers,546.2,0.258,0.075,0.278,0.409,0.22,0.371,0.109,86.3,0.198,0.483,0.32,0.422,0.275,0.025,0.135,0.144,,,0.17,1.83,-0.39,-1.01,0.92,,,0.32,0.472,0.729,0.435,0.636,0.127,0.727,91.2,83,87.2,74.6,84,,,0.669,0.573,0.826,25.3,18498
Chase Anderson,- - -,845,0.2,0.078,0.278,0.378,0.218,0.404,0.106,87.4,0.175,0.49,0.335,0.56,,0.073,0.154,0.214,,,-0.4,,-0.13,-0.09,0.96,,,0.294,0.468,0.801,0.442,0.615,0.093,0.765,92,,89.4,77.2,82.1,,,0.687,0.695,0.859,22.7,6895
Dereck Rodriguez,Giants,190.1,0.171,0.077,0.265,0.41,0.23,0.36,0.11,89.1,0.131,0.466,0.404,0.506,0.127,,0.182,0.185,,,-0.84,1.28,,0.26,0.65,,,0.291,0.45,0.816,0.427,0.57,0.083,0.714,91,86.2,,75.5,84.3,,,0.663,0.699,0.885,22.3,14509
Jarred Cosart,- - -,386.1,0.147,0.116,0.282,0.551,0.195,0.254,0.059,89.3,0.212,0.53,0.258,0.711,0.007,,0.225,0.057,,,0.38,4.38,,-0.63,-0.65,,,0.248,0.409,0.838,0.416,0.556,0.066,0.724,93.5,79.8,,78.5,82.9,,,0.635,0.692,0.919,23.6,10304
Anibal Sanchez,- - -,1573.2,0.217,0.073,0.297,0.428,0.204,0.367,0.109,87.3,0.198,0.517,0.285,0.481,0.171,0.062,0.084,0.202,,,-0.19,0.12,0.65,-0.57,1.04,,,0.315,0.469,0.782,0.454,0.633,0.102,0.717,91.6,85.3,88.4,77.4,83.5,,,0.654,0.657,0.854,20.7,3284
Ryan Vogelsong,- - -,836.2,0.183,0.084,0.289,0.423,0.215,0.362,0.092,88.3,0.195,0.534,0.271,0.514,,0.179,0.188,0.118,,,0.16,,-0.44,0.01,-1.19,,,0.283,0.431,0.839,0.409,0.61,0.069,0.732,90.7,,87.6,76.5,83.3,,,0.645,0.753,0.893,24.4,1011
Chris Bassitt,- - -,307.2,0.194,0.081,0.292,0.429,0.217,0.354,0.128,87.9,0.178,0.502,0.32,0.591,0.188,,0.148,0.074,,,0.33,-0.7,,-1.19,1.66,,,0.281,0.46,0.822,0.476,0.603,0.082,0.739,93,86.3,,71.1,84.1,,,0.657,0.72,0.871,24.7,12304
Shaun Marcum,- - -,618.2,0.199,0.066,0.278,0.368,0.208,0.424,0.123,88.6,0.205,0.532,0.264,0.37,0.088,0.183,0.122,0.238,,,-0.48,0.71,0.25,-0.62,1.18,,,0.324,0.454,0.766,0.407,0.621,0.106,0.721,86.7,80.2,84.4,72.6,80,,,0.644,0.633,0.863,23.4,6204
Josh Collmenter,- - -,454.2,0.159,0.049,0.273,0.348,0.218,0.433,0.12,87.1,0.203,0.496,0.301,0.685,,,0.064,0.252,,,0.05,,,-1.94,0.56,,,0.307,0.473,0.834,0.438,0.609,0.078,0.719,86.3,,,70.9,77.3,,,0.684,0.752,0.881,21,7312
Jeff Karstens,Pirates,345.1,0.146,0.047,0.289,0.435,0.197,0.368,0.074,,0.201,0.514,0.286,0.538,0.162,0.01,0.168,0.121,,,-0.25,-0.16,-1.16,1.18,-0.4,,,0.329,0.48,0.826,0.499,0.639,0.083,0.733,89,79.6,85.8,71,80.3,,,0.632,0.693,0.896,20.2,5879
Brandon McCarthy,- - -,845,0.185,0.051,0.309,0.467,0.232,0.301,0.097,87.4,0.193,0.509,0.299,0.483,0.012,0.282,0.203,0.019,0.001,,0.13,-3.75,0.4,-0.06,-4.4,-3.31,,0.336,0.484,0.838,0.483,0.657,0.078,0.71,92,83.9,90.5,80.2,84.9,83.5,,0.643,0.736,0.896,21.3,4662
Mike Fiers,- - -,1047.2,0.211,0.069,0.283,0.39,0.219,0.391,0.117,88.4,0.179,0.478,0.344,0.51,0.036,0.121,0.179,0.154,,,0.13,-0.89,-0.57,-0.38,0.46,,,0.299,0.463,0.808,0.464,0.623,0.089,0.765,89.5,82,86.1,73,82.9,,,0.652,0.698,0.866,24.5,7754
Matt Harvey,- - -,817,0.222,0.066,0.294,0.439,0.215,0.346,0.109,88.7,0.194,0.491,0.316,0.587,0.194,,0.104,0.115,,,0.27,0.85,,-0.41,-0.24,,,0.313,0.484,0.78,0.466,0.641,0.106,0.726,94.8,88.9,,82.8,87,,,0.68,0.643,0.853,21.5,11713
Tyson Ross,- - -,808.2,0.217,0.099,0.303,0.534,0.213,0.253,0.089,87.8,0.191,0.515,0.294,0.537,0.374,0.058,,0.031,,,-0.47,1.5,-1.85,,-2.09,,,0.299,0.431,0.756,0.413,0.566,0.105,0.705,92.6,85.8,89.3,,86.5,,,0.617,0.582,0.876,21.9,7872
Taijuan Walker,- - -,519,0.214,0.074,0.283,0.437,0.202,0.362,0.097,89.2,0.169,0.528,0.303,0.616,0.049,0.062,0.106,0.167,,,0.38,-0.83,-1.05,-0.45,-1.14,,,0.293,0.464,0.796,0.461,0.617,0.095,0.718,94,86.6,89.3,75.4,88.5,,,0.663,0.667,0.862,19.8,11836
Dustin Moseley,- - -,176,0.126,0.081,0.271,0.493,0.181,0.326,0.064,,0.259,0.474,0.266,0.493,0.044,0.138,0.202,0.123,,,-0.57,-2.04,1.29,-0.18,-0.03,,,0.287,0.414,0.868,0.425,0.591,0.054,0.69,88.9,85.1,86.3,77.1,83.2,,,0.586,0.784,0.923,20.1,7060
John Gant,- - -,135.1,0.193,0.114,0.275,0.448,0.233,0.32,0.096,88.7,0.172,0.418,0.41,0.561,0.047,,0.143,0.249,,,0.47,0.98,,-1.28,-0.15,,,0.29,0.463,0.769,0.455,0.616,0.107,0.7,92.8,83.9,,75.8,81.4,,,0.671,0.628,0.842,24.2,13684
Brett Oberholtzer,- - -,250.1,0.155,0.059,0.309,0.388,0.205,0.407,0.089,89.2,0.152,0.554,0.294,0.567,,0.025,0.171,0.237,,,-0.49,,0.97,-1.44,0.53,,,0.31,0.471,0.836,0.481,0.621,0.077,0.713,89.6,,82.5,79.1,80.7,,,0.646,0.701,0.906,24,3855
Jon Niese,- - -,1131.1,0.178,0.07,0.308,0.504,0.211,0.285,0.083,88.7,0.185,0.511,0.304,0.514,0.004,0.238,0.169,0.076,,,-0.18,-1.72,-0.04,-0.58,-1.16,,,0.296,0.457,0.835,0.48,0.615,0.075,0.723,89.7,80.2,87,74.4,82.8,,,0.632,0.715,0.896,18.6,4424
Steven Wright,Red Sox,263,0.18,0.083,0.278,0.442,0.182,0.376,0.08,87.5,0.213,0.475,0.312,0.14,,,0.021,,,0.838,2.6,,,1.67,,,-0.42,0.259,0.443,0.775,0.461,0.554,0.1,0.694,83.3,,,66.3,,,73.3,0.658,0.713,0.804,20.3,8185
Jhoulys Chacin,- - -,1264.2,0.185,0.094,0.281,0.468,0.212,0.32,0.105,88.3,0.184,0.492,0.324,0.552,0.283,0.012,0.065,0.08,0.008,,-0.86,1.79,-3.71,0.93,-0.46,-1.46,,0.268,0.427,0.806,0.443,0.585,0.083,0.726,90.4,80.5,87.2,77.6,83.1,86.1,,0.627,0.654,0.887,22.2,2608
Tommy Hanson,- - -,575,0.215,0.082,0.296,0.395,0.195,0.41,0.092,,0.174,0.517,0.309,0.546,0.289,,0.138,0.028,,,-0.67,1.12,,-0.1,-0.07,,,0.287,0.439,0.791,0.436,0.623,0.091,0.727,91.1,82,,73.9,81.5,,,0.636,0.638,0.88,22.5,9129
Jordan Zimmermann,- - -,1508.1,0.185,0.05,0.299,0.41,0.219,0.37,0.112,88.7,0.174,0.513,0.313,0.591,0.241,,0.135,0.029,0.004,,-0.29,1.12,,-0.3,-2.84,-4.62,,0.323,0.49,0.826,0.474,0.668,0.085,0.719,93,86.7,,79.4,86.6,87.5,,0.675,0.7,0.892,20.8,4505
Mike Minor,- - -,1016.2,0.212,0.069,0.288,0.37,0.217,0.413,0.102,87.4,0.19,0.477,0.333,0.547,0.154,,0.123,0.176,,0,-0.04,-0.88,,0.2,1.54,,-3.89,0.304,0.462,0.797,0.444,0.609,0.094,0.743,91.2,85.5,,80.2,84.9,,64,0.66,0.689,0.859,21.9,10021
Tyler Matzek,Rockies,139,0.177,0.103,0.31,0.484,0.201,0.314,0.076,90,0.176,0.461,0.363,0.512,0.309,,0.053,0.125,,,-1.41,1.68,,-0.49,-0.52,,,0.283,0.439,0.819,0.438,0.562,0.079,0.757,92.6,83.6,,79.6,88.6,,,0.639,0.66,0.91,21.7,10058
James Shields,- - -,1840,0.209,0.074,0.292,0.431,0.205,0.364,0.088,88.6,0.167,0.524,0.31,0.399,0.002,0.201,0.173,0.226,,,-0.62,-2.7,-0.24,0.28,0.41,,,0.309,0.46,0.775,0.427,0.599,0.104,0.746,91.2,80.9,86.8,77.9,84.3,,,0.663,0.617,0.874,22.6,7059
Mike Leake,- - -,1824.1,0.16,0.052,0.295,0.503,0.211,0.285,0.074,89.2,0.165,0.516,0.32,0.437,0.113,0.237,0.096,0.117,,,-0.2,0.34,0.28,-0.61,-0.94,,,0.31,0.465,0.841,0.444,0.615,0.074,0.726,89.8,81,88.5,78.5,83.9,,,0.661,0.713,0.917,20.6,10130
Nathan Karns,- - -,297.2,0.238,0.092,0.291,0.424,0.209,0.367,0.086,88.9,0.198,0.48,0.322,0.563,,,0.316,0.121,,,-0.66,,,0.98,-0.23,,,0.286,0.445,0.774,0.449,0.579,0.1,0.774,92.3,,,81.6,85.6,,,0.641,0.615,0.862,22.9,12638
Livan Hernandez,Nationals,387,0.129,0.067,0.299,0.407,0.211,0.381,0.082,,0.217,0.504,0.279,0.554,0.231,,0.129,0.086,,,-0.16,-0.52,,1.66,-0.89,,,0.278,0.416,0.866,0.376,0.584,0.055,0.701,84.1,79.3,,66.3,77.8,,,0.645,0.785,0.924,21.7,1116
Kyle Lohse,- - -,1021.2,0.155,0.054,0.285,0.403,0.216,0.382,0.091,88.8,0.18,0.494,0.326,0.511,0.243,,0.079,0.167,,,-0.57,0.64,,-1.1,0.91,,,0.297,0.446,0.838,0.439,0.653,0.072,0.713,89.4,83.7,,74.4,79.9,,,0.636,0.725,0.906,20.9,739
John Lackey,- - -,1338.1,0.193,0.066,0.296,0.439,0.204,0.357,0.112,88.6,0.174,0.519,0.307,0.587,0.244,0,0.125,0.044,,,-0.2,0.95,-53.7,-1.01,-1.53,,,0.322,0.479,0.806,0.453,0.659,0.093,0.735,91.5,84.1,,78.9,84,,,0.668,0.669,0.886,22.1,1507
Eduardo Rodriguez,Red Sox,691.2,0.236,0.083,0.299,0.406,0.212,0.382,0.088,86.7,0.207,0.502,0.291,0.604,0.096,0.099,,0.201,,,0.32,-1.86,0.18,,0.75,,,0.317,0.472,0.773,0.408,0.609,0.107,0.752,93.4,84.7,88.7,,87.2,,,0.697,0.659,0.849,24.1,13164
Wei-Yin Chen,- - -,990.1,0.187,0.061,0.29,0.385,0.213,0.402,0.11,88,0.175,0.52,0.305,0.636,0.161,,0.083,0.12,,,-0.07,0.09,,-0.48,-0.37,,,0.304,0.487,0.824,0.477,0.627,0.086,0.746,91.3,82.9,,73.3,83.5,,,0.687,0.722,0.873,21.6,13071
Chris Young,- - -,483.2,0.172,0.089,0.249,0.242,0.185,0.573,0.14,88.7,0.18,0.496,0.323,0.64,0.313,,0.008,0.038,,,-0.66,0.42,,-0.09,-1.42,,,0.302,0.457,0.818,0.436,0.6,0.083,0.796,85.5,79,,69.2,78.6,,,0.658,0.712,0.881,20,3196
Danny Duffy,Royals,1020.1,0.203,0.087,0.293,0.367,0.215,0.419,0.118,88.6,0.178,0.49,0.333,0.588,0.17,,0.09,0.153,,,0.11,-0.14,,-0.23,-0.09,,,0.29,0.474,0.798,0.472,0.59,0.096,0.749,93.4,82.9,,76.5,84,,,0.68,0.664,0.862,22.8,3542
Brad Peacock,- - -,432,0.233,0.099,0.281,0.386,0.189,0.425,0.094,87.9,0.181,0.498,0.321,0.572,0.231,,0.129,0.067,,,-0.09,0.7,,-0.82,-0.09,,,0.271,0.43,0.792,0.439,0.597,0.089,0.74,92.2,82.1,,76.5,80.9,,,0.632,0.65,0.87,23.3,5401
Sean Newcomb,Braves,278.1,0.226,0.121,0.298,0.437,0.211,0.353,0.095,88.1,0.179,0.504,0.318,0.632,0.043,,0.167,0.158,,,0.4,0.47,,-0.57,-0.6,,,0.29,0.45,0.773,0.411,0.563,0.102,0.746,93.3,80.6,,77.5,86.2,,,0.678,0.663,0.84,21.1,16943
Michael Pineda,- - -,826,0.242,0.054,0.299,0.427,0.208,0.365,0.083,88.8,0.182,0.512,0.306,0.548,0.349,,,0.103,,,-0.18,0.69,,,0.03,,,0.346,0.501,0.75,0.458,0.653,0.125,0.716,93.5,84.9,,,88,,,0.686,0.573,0.856,23.4,5372
Brett Anderson,- - -,798.2,0.15,0.063,0.305,0.579,0.188,0.233,0.06,88.9,0.201,0.485,0.314,0.506,0.269,0.03,0.092,0.104,,,-0.27,0.58,0.37,-0.45,0,,,0.295,0.447,0.835,0.462,0.583,0.073,0.712,90.9,81.9,88.8,75.9,83.2,,,0.623,0.691,0.915,19.1,8223
Ian Kennedy,- - -,1644.1,0.218,0.078,0.285,0.368,0.212,0.42,0.1,89.5,0.167,0.492,0.341,0.624,0.011,0.076,0.138,0.151,,,0.21,-3.06,-0.66,-1.02,-0.14,,,0.295,0.466,0.796,0.452,0.628,0.095,0.745,90.9,83.5,86,77.5,82,,,0.673,0.689,0.853,22.4,6986
Steven Matz,Mets,548,0.221,0.073,0.298,0.483,0.192,0.325,0.084,88.8,0.19,0.484,0.326,0.58,0.097,,0.168,0.154,,,-0.15,0.4,,-0.03,0.45,,,0.265,0.45,0.796,0.486,0.591,0.092,0.753,93.5,88.4,,78.3,84,,,0.645,0.664,0.853,19.4,13361
Seth Lugo,Mets,168.1,0.193,0.063,0.3,0.42,0.228,0.352,0.066,87.7,0.183,0.46,0.357,0.564,0.146,0.009,0.183,0.098,,,0.94,0.3,-7.86,-0.43,-4.09,,,0.294,0.463,0.812,0.457,0.619,0.087,0.73,91.6,85.9,89.3,77.4,84.9,,,0.663,0.71,0.865,22.2,12447
Josh Beckett,- - -,650,0.208,0.074,0.286,0.423,0.195,0.381,0.108,,0.178,0.543,0.279,0.479,,0.181,0.202,0.139,,,-0.23,,-0.03,0,0.4,,,0.304,0.463,0.792,0.447,0.608,0.096,0.733,92.5,,89.9,75.4,87,,,0.659,0.66,0.868,25.1,510
